2025-04-06 19:44:13 - Player: 0, Computer: 68, Winner: computer, User: Nguyen15idhue
2025-04-06 19:44:13 - Player: 0, Computer: 69, Winner: computer, User: Nguyen15idhue
2025-04-06 19:44:13 - Player: 0, Computer: 70, Winner: computer, User: Nguyen15idhue
2025-04-06 19:44:13 - Player: 0, Computer: 71, Winner: computer, User: Nguyen15idhue
2025-04-06 19:44:13 - Player: 0, Computer: 72, Winner: computer, User: Nguyen15idhue
2025-04-06 19:44:13 - Player: 0, Computer: 73, Winner: computer, User: Nguyen15idhue
2025-04-06 19:44:13 - Player: 0, Computer: 74, Winner: computer, User: Nguyen15idhue
2025-04-06 19:44:14 - Player: 0, Computer: 75, Winner: computer, User: Nguyen15idhue
2025-04-06 19:44:14 - Player: 0, Computer: 76, Winner: computer, User: Nguyen15idhue
2025-04-06 19:44:14 - Player: 0, Computer: 77, Winner: computer, User: Nguyen15idhue
2025-04-06 19:44:14 - Player: 0, Computer: 78, Winner: computer, User: Nguyen15idhue
2025-04-06 19:44:14 - Player: 0, Computer: 79, Winner: computer, User: Nguyen15idhue
2025-04-06 19:44:14 - Player: 0, Computer: 80, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:14 - Player: 2, Computer: 5, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:14 - Player: 2, Computer: 6, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:14 - Player: 2, Computer: 7, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:14 - Player: 2, Computer: 8, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 9, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 10, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 11, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 12, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 13, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 14, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 15, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 16, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 17, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 18, Winner: computer, User: Nguyen15idhue
